UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
0.681334,1,1.08283,3,0.466412,3
0.399949,1,2.77347,6,0.184334,1
1.04309,1,0.165704,1,0.748847,5
0.549635,1,0.511824,1,0.386418,3
0.352953,1,1.11474,2,0.164188,1
0.405674,1,0.186033,1,0.186104,1
0.325985,1,0.164639,1,0.147726,1
0.321669,1,0.125599,1,0.141889,1
0.602894,1,0.564264,2,0.439855,3
0.375916,1,0.219686,1,0.166457,1
0.284138,1,1.03176,3,0.127478,1
0.535213,1,0.701976,2,0.368071,3
0.574733,1,0.3437,1,0.364571,3
0.539928,1,0.158281,1,0.32146,2
0.92289,1,0.420995,1,0.727212,5
0.483431,1,0.162412,1,0.226938,1
0.743779,1,0.813454,2,0.542414,5
0.778452,1,1.00155,2,0.597986,5
0.383135,1,0.405672,1,0.202165,1
0.327271,1,1.22076,3,0.148192,1
0.334493,1,0.640664,2,0.167382,1
0.488633,1,0.315988,1,0.289482,2
0.482598,1,0.648659,2,0.28634,2
0.454474,1,0.716135,2,0.285466,2
0.59248,1,0.426298,1,0.312451,2
0.410786,1,0.797904,2,0.249569,2
0.425688,1,1.21761,3,0.196891,1
1.11228,1,0.393064,1,0.879024,7
0.557547,1,0.901114,2,0.305645,2
0.499709,1,0.307406,1,0.30326,2
0.380893,1,0.736893,2,0.202705,1
0.347415,1,3.00432,7,0.156452,1
0.373538,1,1.52751,4,0.172805,1
0.352456,1,0.645165,2,0.1715,1
0.332175,1,0.38643,1,0.155532,1
0.491236,1,0.422173,1,0.29287,2
0.513996,1,2.73849,6,0.26123,1
0.347508,1,2.5049,6,0.130327,1
0.385802,1,0.874717,2,0.202053,1
0.342576,1,0.157794,1,0.151967,1
0.432729,1,1.73093,4,0.260575,1
0.563057,1,0.230762,1,0.398496,4
0.60982,2,0.8322,2,0.378792,3
0.67982,1,0.252517,1,0.48254,4
0.382854,1,0.823976,2,0.179976,1
0.36972,1,0.212775,1,0.170205,1
0.319012,1,1.63274,4,0.139593,1
0.687247,1,0.298232,1,0.485447,4
0.370767,1,0.236708,1,0.155897,1
0.407974,1,0.375727,1,0.201198,1
0.666382,1,0.229271,1,0.495078,4
0.43968,1,0.635612,2,0.232326,2
0.582336,1,0.22159,1,0.393559,4
0.436595,1,0.208443,1,0.269953,2
0.300976,1,0.656288,2,0.147563,1
0.354711,1,1.23415,3,0.167457,1
0.353103,1,0.147218,1,0.168428,1
0.353617,1,0.438597,1,0.176228,1
0.43521,1,0.489139,1,0.248491,2
0.45124,1,1.49112,4,0.26398,2
0.453953,1,0.145376,1,0.261648,2
0.463588,1,0.253851,1,0.197414,1
0.814507,1,0.292595,1,0.65456,6
0.431847,1,0.434735,1,0.253896,2
0.293047,1,0.113938,1,0.130721,1
0.694614,1,1.28532,3,0.498674,4
0.442709,1,1.0452,3,0.228927,1
0.314149,1,0.640223,2,0.125878,1
0.298454,1,0.743912,2,0.138853,1
0.650047,1,0.155419,1,0.477324,4
0.39525,1,1.0714,3,0.168312,1
0.429738,1,0.598299,2,0.250122,2
0.341611,1,0.306118,1,0.15318,1
0.469075,1,0.584085,2,0.306326,3
0.479426,1,0.189985,1,0.308848,2
0.286687,1,0.575229,2,0.134174,1
0.477626,1,0.44409,1,0.271416,2
0.650785,1,1.27671,3,0.440281,3
0.469989,1,0.154436,1,0.272368,2
0.328676,1,1.07897,3,0.158441,1
0.310077,1,0.580966,2,0.146241,1
0.453366,1,0.263131,1,0.251892,2
0.472653,1,0.237295,1,0.283544,2
0.378983,1,0.171714,1,0.187576,1
0.352434,1,0.419629,1,0.200379,1
0.492709,1,0.277911,1,0.300142,2
0.409397,1,0.420772,1,0.249329,2
0.818177,1,0.736449,2,0.612801,5
0.343378,1,0.11785,1,0.151946,1
0.39854,1,0.276885,1,0.198089,1
0.573735,1,0.120624,1,0.36482,3
0.456998,1,0.344924,1,0.239759,2
0.416957,1,0.296572,1,0.213917,1
0.553346,1,0.415068,1,0.373424,3
0.373369,1,0.179378,1,0.183537,1
0.362754,1,0.127205,1,0.167004,1
0.332838,1,0.567907,2,0.150425,1
0.479775,1,2.00891,5,0.276608,2
0.462119,1,0.96156,3,0.273777,2
0.425006,1,0.206023,1,0.170734,1
