UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
0.52298,1,6.94301e-310,32719,0.39362,2
0.469996,1,6.94301e-310,32719,0.363225,2
0.334502,1,6.94301e-310,32719,0.19557,1
0.30645,1,6.94301e-310,32719,0.195223,1
0.302146,1,6.94301e-310,32719,0.193455,1
0.384926,1,6.94301e-310,32719,0.249693,1
0.333243,1,6.94301e-310,32719,0.229043,1
0.512757,1,6.94301e-310,32719,0.40809,2
0.330539,1,6.94301e-310,32719,0.212203,1
0.363772,1,6.94301e-310,32719,0.253417,1
0.335843,1,6.94301e-310,32719,0.23475,1
0.313299,1,6.94301e-310,32719,0.206352,1
0.705855,1,6.94301e-310,32719,0.591794,3
0.367748,1,6.94301e-310,32719,0.222006,1
0.366687,1,6.94301e-310,32719,0.253947,1
0.683845,1,6.94301e-310,32719,0.57406,3
0.672795,1,6.94301e-310,32719,0.567422,3
0.46963,1,6.94301e-310,32719,0.36555,2
0.685328,1,6.94301e-310,32719,0.581066,3
0.323583,1,6.94301e-310,32719,0.217609,1
0.326954,1,6.94301e-310,32719,0.217798,1
0.498705,1,6.94301e-310,32719,0.39216,2
0.848191,1,6.94301e-310,32719,0.732577,4
0.8885,1,6.94301e-310,32719,0.780761,5
0.47846,1,6.94301e-310,32719,0.370626,2
0.307804,1,6.94301e-310,32719,0.202595,1
0.835334,1,6.94301e-310,32719,0.729802,4
0.305791,1,6.94301e-310,32719,0.191745,1
0.496779,1,6.94301e-310,32719,0.385838,2
0.839173,1,6.94301e-310,32719,0.725112,4
0.490729,1,6.94301e-310,32719,0.387201,2
0.685612,1,6.94301e-310,32719,0.574694,3
0.303157,1,6.94301e-310,32719,0.192296,1
0.314842,1,6.94301e-310,32719,0.201428,1
0.356394,1,6.94301e-310,32719,0.238962,1
0.29434,1,6.94301e-310,32719,0.1891,1
0.48457,1,6.94301e-310,32719,0.367869,2
0.657655,1,6.94301e-310,32719,0.546449,3
0.624995,1,6.94301e-310,32719,0.520084,3
0.484604,1,6.94301e-310,32719,0.368581,2
0.495566,1,6.94301e-310,32719,0.380775,2
0.477893,1,6.94301e-310,32719,0.366107,2
0.532348,1,6.94301e-310,32719,0.421046,2
0.821278,1,6.94301e-310,32719,0.712588,4
0.299796,1,6.94301e-310,32719,0.196156,1
0.351534,1,6.94301e-310,32719,0.234561,1
0.357486,1,6.94301e-310,32719,0.246172,1
0.317463,1,6.94301e-310,32719,0.203254,1
0.485839,1,6.94301e-310,32719,0.380216,2
0.708605,1,6.94301e-310,32719,0.597293,3
0.545482,1,6.94301e-310,32719,0.431916,2
0.807216,1,6.94301e-310,32719,0.694158,4
0.985262,1,6.94301e-310,32719,0.876901,6
0.527255,1,6.94301e-310,32719,0.407648,3
0.345608,1,6.94301e-310,32719,0.217653,1
0.4875,1,6.94301e-310,32719,0.327281,1
0.442429,1,6.94301e-310,32719,0.26332,1
0.489693,1,6.94301e-310,32719,0.328206,1
0.391463,1,6.94301e-310,32719,0.215207,1
0.339599,1,6.94301e-310,32719,0.224699,1
0.587056,1,6.94301e-310,32719,0.455847,2
0.313355,1,6.94301e-310,32719,0.194838,1
0.538253,1,6.94301e-310,32719,0.403893,2
0.340876,1,6.94301e-310,32719,0.234001,1
0.671742,1,6.94301e-310,32719,0.558707,3
0.320072,1,6.94301e-310,32719,0.213222,1
0.501571,1,6.94301e-310,32719,0.382763,2
0.537178,1,6.94301e-310,32719,0.417331,2
0.323644,1,6.94301e-310,32719,0.196164,1
0.483717,1,6.94301e-310,32719,0.374581,2
0.31162,1,6.94301e-310,32719,0.196122,1
0.334439,1,6.94301e-310,32719,0.21815,1
0.303831,1,6.94301e-310,32719,0.2006,1
0.301508,1,6.94301e-310,32719,0.18816,1
0.611115,2,6.94301e-310,32719,0.380051,2
0.488944,1,6.94301e-310,32719,0.37799,2
0.319404,1,6.94301e-310,32719,0.202896,1
0.31219,1,6.94301e-310,32719,0.192863,1
0.297671,1,6.94301e-310,32719,0.19066,1
0.357584,1,6.94301e-310,32719,0.25064,1
0.37142,1,6.94301e-310,32719,0.264947,1
0.333651,1,6.94301e-310,32719,0.223048,1
0.676766,1,6.94301e-310,32719,0.561967,3
0.511921,1,6.94301e-310,32719,0.397872,2
0.359192,1,6.94301e-310,32719,0.248882,1
0.4207,1,6.94301e-310,32719,0.306621,2
0.495476,1,6.94301e-310,32719,0.373351,2
0.642425,1,6.94301e-310,32719,0.529496,3
0.491109,1,6.94301e-310,32719,0.381901,2
0.452709,1,6.94301e-310,32719,0.346869,2
0.312849,1,6.94301e-310,32719,0.204303,1
0.468598,1,6.94301e-310,32719,0.352169,2
0.464441,1,6.94301e-310,32719,0.350751,2
0.307367,1,6.94301e-310,32719,0.200021,1
0.770643,1,6.94301e-310,32719,0.658857,4
0.550928,1,6.94301e-310,32719,0.431842,2
0.365533,1,6.94301e-310,32719,0.249495,1
0.290609,1,6.94301e-310,32719,0.182141,1
0.632876,1,6.94301e-310,32719,0.527179,3
0.359208,1,6.94301e-310,32719,0.249177,1
