UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
1.01732,1,12.9648,1,0.831101,6
0.437295,1,80.3462,3,0.267243,2
0.313153,1,52.2705,3,0.141157,1
0.762208,1,52.2368,2,0.554757,4
0.321497,1,10.9721,1,0.148322,1
0.363916,1,20.1281,1,0.208672,1
0.564265,1,6.74673,1,0.364423,3
0.352463,1,38.9371,2,0.182497,1
0.301394,1,16.1255,1,0.148251,1
0.317925,1,57.0304,3,0.153472,1
0.368115,1,35.1052,2,0.142571,1
0.324913,1,4.225,1,0.129403,1
0.327032,1,62.4457,3,0.161626,1
0.339244,1,7.47297,1,0.16511,1
0.303819,1,25.0475,2,0.141329,1
0.41447,1,30.1938,2,0.24638,2
0.447973,1,17.4207,1,0.266512,2
0.599587,1,3.1041,1,0.435503,3
0.31806,1,6.02401,1,0.158524,1
0.433773,1,1.5635,1,0.265542,2
0.585882,1,19.0857,1,0.406327,3
0.632113,1,43.4178,2,0.462955,4
0.449667,1,22.1087,1,0.283041,2
0.316723,1,29.6351,2,0.145692,1
0.352507,1,9.59961,1,0.200413,1
0.549083,1,1.01818,1,0.378618,4
0.533703,1,16.8124,1,0.325784,2
0.313127,1,11.0504,1,0.157137,1
0.343685,1,35.221,2,0.182231,1
0.421842,1,10.1838,1,0.25866,2
0.342377,1,0.205478,1,0.178424,2
0.56661,1,42.3867,2,0.354536,2
0.440579,1,17.2585,1,0.271394,2
0.34535,1,14.4117,1,0.178226,1
0.575288,1,51.6197,3,0.362208,2
0.323421,1,12.7915,1,0.15215,1
0.321939,1,17.5312,1,0.159688,1
0.425214,1,22.5155,1,0.220418,1
0.411933,1,22.1758,1,0.214508,1
0.514049,1,48.6982,2,0.318317,2
0.499406,1,28.1157,2,0.343834,3
0.314496,1,67.5291,3,0.148164,1
0.330783,1,13.765,1,0.166457,1
0.469686,2,39.3315,2,0.285091,2
0.342901,1,27.4809,2,0.158483,1
0.370199,1,10.2304,1,0.197888,1
0.343905,1,3.94484,1,0.185834,1
0.414993,1,14.2525,1,0.257122,2
0.362215,1,27.666,2,0.179195,1
0.616359,1,11.0292,1,0.439995,3
0.429214,1,43.6013,2,0.18643,1
0.333793,1,24.6246,1,0.168898,1
0.319247,1,8.49038,1,0.147434,1
0.305975,1,1.10271,1,0.150917,1
0.48288,1,12.1058,1,0.317624,3
0.305547,1,0.521246,1,0.143357,1
0.346046,1,45.4344,2,0.16335,1
0.464569,1,19.6266,1,0.294588,2
0.369314,1,14.6766,1,0.206303,1
0.309489,1,2.96982,1,0.153834,1
0.350811,2,30.5192,2,0.152049,1
0.36136,1,19.2439,1,0.196445,1
0.331352,1,78.3687,4,0.160137,1
0.326872,1,2.57994,1,0.162683,1
0.350834,1,15.1835,1,0.190017,1
0.378478,1,31.2821,2,0.195336,1
0.531455,1,21.7647,1,0.367203,3
0.340998,1,16.8234,1,0.182311,1
0.343089,1,0.32183,1,0.151688,1
0.338047,1,103.006,5,0.168547,1
0.310559,1,12.9095,1,0.151244,1
0.44469,1,3.36548,1,0.273933,2
0.332661,1,0.246806,1,0.147283,1
0.310369,1,7.20675,1,0.151554,1
0.552254,1,16.299,1,0.379676,3
0.438899,1,25.3079,2,0.279651,2
0.328913,1,30.4982,2,0.165915,1
0.431558,1,3.03393,1,0.259351,2
0.28685,1,15.4813,1,0.133093,1
0.325469,1,11.6715,1,0.15232,1
0.584528,1,22.1669,1,0.412915,3
0.325982,1,0.565255,1,0.149824,1
0.330585,1,1.26385,1,0.162673,1
0.60492,1,15.6627,1,0.453197,4
0.397253,1,4.6984,1,0.242973,2
0.302957,1,30.3646,2,0.138558,1
0.314983,1,44.236,2,0.145662,1
0.316703,1,18.2498,1,0.15724,1
0.332815,1,10.5836,1,0.142931,1
0.288593,1,9.26924,1,0.137837,1
0.414407,1,37.4221,2,0.246716,1
0.317248,1,18.7949,1,0.150975,1
0.313613,1,5.3677,1,0.159333,1
0.516618,1,16.439,1,0.340024,2
0.434802,1,51.1243,3,0.267058,2
0.318648,1,34.8946,2,0.136584,1
0.335487,1,30.758,2,0.172249,1
0.317526,1,17.9965,1,0.13441,1
0.364238,1,52.6845,3,0.197824,1
0.447352,1,37.7315,2,0.259123,2
