UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
1.08261,1,0,0,0.965145,1
3.0048,1,0,0,2.89502,2
4.40893,1,0,0,4.27789,3
0.922643,1,0,0,0.819165,1
0.80131,1,0,0,0.686323,1
4.19098,1,0,0,4.05192,3
1.20559,1,0,0,1.09025,1
3.28394,1,0,0,3.1691,2
1.34415,1,0,0,1.18551,1
1.21515,1,0,0,1.10942,1
6.36782,1,0,0,6.25988,4
4.17794,1,0,0,4.06958,3
2.5097,1,0,0,2.40735,2
1.64494,1,0,0,1.53684,1
0.729225,1,0,0,0.623693,1
1.36984,1,0,0,1.26196,1
2.92038,1,0,0,2.81724,2
4.82637,1,0,0,4.71006,3
0.654821,1,0,0,0.545078,1
0.984438,1,0,0,0.866192,1
1.44968,1,0,0,1.33019,1
1.54457,1,0,0,1.43127,1
3.09248,1,0,0,2.9818,2
0.888042,1,0,0,0.780231,1
4.18641,1,0,0,4.07829,3
0.826536,1,0,0,0.7161,1
1.03836,1,0,0,0.926139,1
0.920631,1,0,0,0.814114,1
0.899229,1,0,0,0.789337,1
1.24317,1,0,0,1.13596,1
1.05499,1,0,0,0.943299,1
1.66816,1,0,0,1.5618,1
1.15581,1,0,0,1.04893,1
0.839112,1,0,0,0.729323,1
2.62645,1,0,0,2.51522,2
1.08784,1,0,0,0.96839,1
0.674539,1,0,0,0.566376,1
1.30716,1,0,0,1.19626,1
4.41449,1,0,0,4.30815,3
2.28277,1,0,0,2.1704,2
2.94296,1,0,0,2.83719,2
0.978455,1,0,0,0.869985,1
3.10186,1,0,0,2.98316,2
2.49357,1,0,0,2.3887,2
0.621877,1,0,0,0.517877,1
1.5632,1,0,0,1.45624,1
1.12243,1,0,0,1.01224,1
1.72193,1,0,0,1.60963,1
0.655851,1,0,0,0.538685,1
0.854917,1,0,0,0.750716,1
3.10109,1,0,0,2.99584,2
4.04676,1,0,0,3.91926,3
12.1923,1,0,0,12.0804,8
0.649553,1,0,0,0.527748,1
1.26352,1,0,0,1.12235,1
2.98215,1,0,0,2.87401,2
1.05707,1,0,0,0.94346,1
1.22506,1,0,0,1.11043,1
1.2441,1,0,0,1.1335,1
1.35217,1,0,0,1.2386,1
0.995649,1,0,0,0.887169,1
0.807298,1,0,0,0.697894,1
2.4477,1,0,0,2.33456,2
2.13796,1,0,0,2.02011,2
1.19019,1,0,0,1.07782,1
1.3094,1,0,0,1.19443,1
0.697348,1,0,0,0.571363,1
2.81313,1,0,0,2.70324,2
0.726999,1,0,0,0.619822,1
2.8876,1,0,0,2.77512,2
6.58408,1,0,0,6.46711,4
2.94289,1,0,0,2.83473,2
3.29598,1,0,0,3.18225,2
0.679267,1,0,0,0.577405,1
0.678293,1,0,0,0.560444,1
2.87499,1,0,0,2.75534,2
1.2615,2,0,0,1.12049,1
2.21636,1,0,0,2.09421,2
1.14551,1,0,0,1.03973,1
1.57565,1,0,0,1.47059,1
1.10311,1,0,0,0.98661,1
1.44523,1,0,0,1.33351,1
0.774753,1,0,0,0.664313,1
1.25339,1,0,0,1.13939,1
3.27328,1,0,0,3.15186,2
0.714303,1,0,0,0.606004,1
1.39362,1,0,0,1.28686,1
1.30606,1,0,0,1.17459,1
1.53086,1,0,0,1.40328,1
1.31983,1,0,0,1.19427,1
3.89894,1,0,0,3.78325,3
1.1428,1,0,0,1.02539,1
1.55577,1,0,0,1.42644,1
1.09282,1,0,0,0.972961,1
3.93949,1,0,0,3.82987,3
1.22806,1,0,0,1.11128,1
1.07636,1,0,0,0.967938,1
0.699138,1,0,0,0.576003,1
0.711196,1,0,0,0.592554,1
1.02051,1,0,0,0.917725,1
