UOV,UOV_vinegars,UOVp,UOVp_vinegars, UOV2, UOVp2_vinegars
0.530474,1,0,0,0.423336,1
0.572966,1,0,0,0.428309,1
0.86099,1,0,0,0.756737,2
0.465335,1,0,0,0.360226,1
0.63632,1,0,0,0.513787,1
1.21926,2,0,0,1.08212,3
0.478795,1,0,0,0.368568,1
0.527575,1,0,0,0.415079,1
0.422636,1,0,0,0.306477,1
0.454327,1,0,0,0.332304,1
0.432716,1,0,0,0.310045,1
0.521751,1,0,0,0.409672,1
0.472642,1,0,0,0.333636,1
0.420469,1,0,0,0.312267,1
0.568138,1,0,0,0.441986,1
0.489585,1,0,0,0.38173,1
0.522679,1,0,0,0.415312,1
0.685168,1,0,0,0.50851,1
0.922314,1,0,0,0.819861,2
0.79076,1,0,0,0.685295,2
0.503835,1,0,0,0.395844,1
0.527591,1,0,0,0.407022,1
0.499449,1,0,0,0.385888,1
0.526909,1,0,0,0.414209,1
0.591526,1,0,0,0.484269,1
0.825833,1,0,0,0.712116,2
0.509376,2,0,0,0.384557,1
0.898524,1,0,0,0.783418,2
0.538917,1,0,0,0.430165,1
1.61544,1,0,0,1.50503,4
0.432416,1,0,0,0.321163,1
0.475122,1,0,0,0.370308,1
0.571502,1,0,0,0.455623,1
0.471301,1,0,0,0.361044,1
0.866699,1,0,0,0.757056,2
0.442226,2,0,0,0.305406,1
0.874781,1,0,0,0.759903,2
0.408043,1,0,0,0.301008,1
0.563093,1,0,0,0.447983,1
0.466855,1,0,0,0.360554,1
0.435277,1,0,0,0.3234,1
0.420034,1,0,0,0.315216,1
0.551246,1,0,0,0.421071,1
0.539291,1,0,0,0.419359,1
1.29401,1,0,0,1.17172,3
0.430501,1,0,0,0.322449,1
1.23103,1,0,0,1.12387,3
0.464816,1,0,0,0.348466,1
0.873935,1,0,0,0.768008,2
0.492168,1,0,0,0.382535,1
0.455964,1,0,0,0.328265,1
0.438322,1,0,0,0.325245,1
0.507724,1,0,0,0.391391,1
1.28362,1,0,0,1.17041,3
0.819556,1,0,0,0.712251,2
0.799604,1,0,0,0.690403,2
0.540623,1,0,0,0.427346,1
0.877683,1,0,0,0.762966,2
0.787143,1,0,0,0.677742,2
0.412082,1,0,0,0.299567,1
0.437587,1,0,0,0.329855,1
1.14228,1,0,0,1.03353,3
0.85931,1,0,0,0.751027,2
0.436916,1,0,0,0.332557,1
0.533745,1,0,0,0.426436,1
0.530052,1,0,0,0.422343,1
0.519498,1,0,0,0.404758,1
0.875061,1,0,0,0.770988,2
0.430398,1,0,0,0.325061,1
1.73257,1,0,0,1.57395,4
0.884098,1,0,0,0.74903,2
0.411601,1,0,0,0.306447,1
0.424118,1,0,0,0.316409,1
0.856528,1,0,0,0.746901,2
0.508587,1,0,0,0.401956,1
0.811866,1,0,0,0.69884,2
1.60498,1,0,0,1.4911,4
0.437969,1,0,0,0.327267,1
0.455633,1,0,0,0.334849,1
0.460233,1,0,0,0.346395,1
0.876288,1,0,0,0.772843,2
0.489242,1,0,0,0.355313,1
0.448826,1,0,0,0.340182,1
0.493591,1,0,0,0.387385,1
0.507409,1,0,0,0.398636,1
0.502916,1,0,0,0.397684,1
0.804773,1,0,0,0.692802,2
0.418394,1,0,0,0.313944,1
0.816483,1,0,0,0.711281,2
0.919897,1,0,0,0.803393,2
0.449185,1,0,0,0.342869,1
0.843907,1,0,0,0.693107,2
0.431319,1,0,0,0.318534,1
0.831601,1,0,0,0.692528,2
0.441034,1,0,0,0.327945,1
0.572524,1,0,0,0.469469,1
0.876638,1,0,0,0.760998,2
0.546479,1,0,0,0.422436,1
0.624528,1,0,0,0.464778,1
0.716347,1,0,0,0.540295,1
